mood_label,mood_matrix,mood_vector,tweet_text
10,"[[[0.19343998 0.08245833 0.40264583 0.28047396]
  [0.12311508 0.27679167 0.16501042 0.22707813]
  [0.09713542 0.04909375 0.22444792 0.15242708]
  [0.13354415 0.10001562 0.304125   0.22784375]
  [0.0656498  0.22770313 0.12567187 0.17514062]
  [0.07707093 0.05060938 0.16690625 0.0949375 ]
  [0.06939484 0.17739062 0.17501563 0.1886875 ]
  [0.2406498  0.41570313 0.29426562 0.41204687]]]","[0.19343998 0.08245833 0.40264583 0.28047396 0.12311508 0.27679167
 0.16501042 0.22707813 0.09713542 0.04909375 0.22444792 0.15242708
 0.13354415 0.10001562 0.304125   0.22784375 0.0656498  0.22770313
 0.12567187 0.17514062 0.07707093 0.05060938 0.16690625 0.0949375
 0.06939484 0.17739062 0.17501563 0.1886875  0.2406498  0.41570313
 0.29426562 0.41204687]",democrat block hold debat good think thing fake news network radic left democrat gener elect debatwall street journal migrant famili cross u illeg arrest first five month feder fiscal year prior full year great job border nation emergcongressman chri stewart one accus presid crime yet democrat issu hundr subpoena unpreced desper tri find anyth even punctuat mistak documentshame hous democrat take stronger stand anti semit confer anti semit fuel atroc throughout histori inconceiv act condemnrt jim jordan evid trump collud russia kind show clinton campaignrt weird sudden fake dossier author paid hillari dnc etc long want showhan von spakovski seen evid actual violat law usual basi start investig adam schiff seem copi joseph mccarthi want open investig evid wrongdort jimbo admit cnn proof obstruct person opinion meetpresidenti harassrt success privat sector career politician enrich spend decadcrook hillari clinton confirm run 2020 rule third bid white hous aw shuck mean get run sore missscott gottlieb done absolut terrif job commission fda plan leav govern servic sometim next monthmoment ago sign eo address one nation heartbreak tragedi veteran suicid everi veteran want know entir nation 300 million peopl behind never forgottenrepublican approv rate hit 93 sorri hater make america greatpresidenti harassgreatest overreach histori countri dem obstruct justic get anyth done big fat fish expedit desper search crime fact real crime dem donehiv cure 2nd patient doctor report great news mani tremend progress maderealiz collus russia done crook hillari clinton amp democrat nadler schiff dem head committe gone stone cold crazi 81 letter sent innoc peopl harass get anyth done countriinde star thank center urban renew amp edrepres ilhan omar fire terribl comment concern israel jewish group sent petit speaker pelosi ask remov omar foreign relat committe dark day israelrt right border use gateway drug cartel amp violent crimin day ad millionamerican media chang forev news organ seem like big deal extinct remain degrad beyond recognit like new yorker purchas jeff bezo conduct unregist lobbipresidenti harassrt presid trump messag affect tornado gulf state griev side pledgcollus investig search crime democrat evid impeach presid trump ridiculdem go tri amp switch collus reason make continu look like sore loser accept peopl last elect anyth get rid presid never workfema told directli give plu treatment great state alabama wonder peopl devast tornado one best countri inform work close femafema told directli give plu treatment great state alabama wonder peopl devast tornado one best countri inform work close femaschumer amp democrat hurt countri senat republican must take bold actionrt jon stewart listen everybodi trump justic dept excel job administr 911 compens actdemocrat interview open hear convict liar amp fraudster time import nuclear summit north korea perhap new low american polit may contribut walk never done presid oversea shamereason want militari drill south korea save hundr million dollar u reimburs posit long becam presid also reduc tension north korea time good thing
11,"[[[0.14126984 0.51366667 0.66713333 0.67533333]
  [0.19206349 0.7453     0.5637     0.74136667]
  [0.06031746 0.136      0.412      0.32      ]
  [0.11746032 0.25545    0.5646     0.4774    ]
  [0.17301587 0.80155    0.5705     0.77      ]
  [0.04285714 0.1394     0.2352     0.1702    ]
  [0.12222222 0.6306     0.6548     0.7258    ]
  [0.15079365 0.75295    0.4739     0.6991    ]]]","[0.14126984 0.51366667 0.66713333 0.67533333 0.19206349 0.7453
 0.5637     0.74136667 0.06031746 0.136      0.412      0.32
 0.11746032 0.25545    0.5646     0.4774     0.17301587 0.80155
 0.5705     0.77       0.04285714 0.1394     0.2352     0.1702
 0.12222222 0.6306     0.6548     0.7258     0.15079365 0.75295
 0.4739     0.6991    ]",senat republican vote constitution preced vote desper need border secur amp wall countri invad drug human traffick amp crimin shape size vote stay unitweirdo tom steyer gut money run presid talkmilitari drill war game call never even discuss mtg w kim jong un nk fake news made decis long ago cost u far much money game especi sinc reimburs tremend costgreat peopl alabama surround area pleas care safe tornado storm truli violent could come famili friend victim injur god blesspresidenti harass craze democrat highest level histori countri likewis viciou corrupt mainstream media presid ever endur yet success first two year
12,"[[[0.         0.         0.         0.        ]
  [0.15384615 0.08715385 0.04676923 0.07138462]
  [0.         0.         0.         0.        ]
  [0.         0.         0.         0.        ]
  [0.         0.         0.         0.        ]
  [0.07692308 0.02515385 0.02276923 0.01984615]
  [0.07692308 0.04923077 0.05507692 0.06907692]
  [0.15384615 0.10346154 0.1045     0.12292308]]]","[0.         0.         0.         0.         0.15384615 0.08715385
 0.04676923 0.07138462 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.07692308 0.02515385 0.02276923 0.01984615
 0.07692308 0.04923077 0.05507692 0.06907692 0.15384615 0.10346154
 0.1045     0.12292308]",american workforc polici advisori board meetrt tune tonight blockbust analysi dem coloss stupid decis overreach overbroad subpoenart statement chairman nadler fish expeditscott help us lower drug price get record number gener drug approv onto market mani thing talent greatli missgreat first ladi live show today 1 00 pm pt terrif resort bebest tour help address opioidcrisi free admiss first 1500 peoplpeopl subject biggest display modern day mccarthyism widest fish net expedit everi aspect presid life order get power back institut socialpeopl subject biggest display modern day mccathyism widest fish net expedit everi aspect presid life order get power back institut socialamazon like washington post hard rememb long ago america prestig media outlet anymor fake news media true enemi peoplrt complet agre kevin mccarthialso illeg leak fake news cnn amp otherrt man conserv unit twitter sinc kavanaugh confirmrt presid trump made america great maga us help keep america great kagpresid win big envi world think could
20,"[[[0.13413767 0.15395833 0.298425   0.25135   ]
  [0.21469017 0.52994583 0.3241125  0.43918333]
  [0.12473596 0.159825   0.2869     0.249675  ]
  [0.07604853 0.15105833 0.21000833 0.214625  ]
  [0.13833333 0.507      0.298      0.3795    ]
  [0.05721917 0.078525   0.22015    0.1158    ]
  [0.06375    0.238125   0.144475   0.193375  ]
  [0.19108516 0.59390833 0.41385    0.52006667]]]","[0.13413767 0.15395833 0.298425   0.25135    0.21469017 0.52994583
 0.3241125  0.43918333 0.12473596 0.159825   0.2869     0.249675
 0.07604853 0.15105833 0.21000833 0.214625   0.13833333 0.507
 0.298      0.3795     0.05721917 0.078525   0.22015    0.1158
 0.06375    0.238125   0.144475   0.193375   0.19108516 0.59390833
 0.41385    0.52006667]",wonder daughter ivanka interview tonight steve hilton next revolut 9 00 p work hard achiev much u get littl credit watch mark levin 10 00 p great showtwo year presidenti harass thing proven democrat broke law hostil cohen testimoni given liar reduc prison time prove collus written book manuscript showgot nasa rock great activ success congrat spacexbrand new manuscript new book fail lawyer michael cohen show testimoni total lie pundit usert 93 approv rate republican parti 52 approv rate overal bad consid get unfair brt hope great republican senat get led path weak ineffect border secur without strospeak cpac 11 30 morn record crowd live broadcast enjoyproud perhap greatest golf cours anywher world also further u k relationshipask china immedi remov tariff agricultur product includ beef pork etc base fact move along nice trade discussincreas second traunch tariff 25 march 1st import great farmermichael cohen book manuscript show commit perjuri scale seen must forgotten book testifi hillari clinton lawyer lanni davi say one paid crook hillari use lawyerfraudul dishonest statement made wednesday way time stop corrupt illeg brought witch hunt time start look side real crime commit republican abus long enough must endoh see 2 year russian collus case fallen apart collus except bye crook hillari democrat say gee idea let look trump financ everi deal ever done let follow discredit michael cohencongress must demand transcript michael cohen new book given publish short time ago head spin see lie misrepresent contradict thursday testimoni like differ person total discreditwow reveal michael cohen wrote love letter trump manuscript new book push written submit long charlottesvil helsinki phoni reason go rogu book exact opposit fake testimoni liegreat back vietnam amaz place substant negoti kim jong un know want know must relationship good let see happeninterview 9 00 p enjoyrt michael cohen one mani lawyer repres unfortun client also disbagreat meet dinner tonight vietnam kim jong un north korea good dialogu resum tomorrowfals report guess intent respect north korea kim jong un tri hard work someth denuclear amp make north korea econom powerhous believ china russia japan amp south korea help
21,"[[[0.16435283 0.35039583 0.63405417 0.51511667]
  [0.13570922 0.64021667 0.53745    0.5961    ]
  [0.09254079 0.22952333 0.41552667 0.40196667]
  [0.14933944 0.341385   0.70499667 0.53993833]
  [0.10965366 0.69676667 0.54675    0.6015    ]
  [0.11338242 0.28529167 0.59195    0.44805   ]
  [0.11270527 0.50286667 0.57863333 0.57166667]
  [0.12231638 0.53101667 0.47298333 0.56141667]]]","[0.16435283 0.35039583 0.63405417 0.51511667 0.13570922 0.64021667
 0.53745    0.5961     0.09254079 0.22952333 0.41552667 0.40196667
 0.14933944 0.341385   0.70499667 0.53993833 0.10965366 0.69676667
 0.54675    0.6015     0.11338242 0.28529167 0.59195    0.44805
 0.11270527 0.50286667 0.57863333 0.57166667 0.12231638 0.53101667
 0.47298333 0.56141667]",said total lie fake media show innoc man persecut bad conflict amp corrupt peopl witch hunt illeg amp never allow start elect despit great successvirtual everyth fail lawyer michael cohen said sworn testimoni last week total contradict releas manuscript book total new love letter trump pol must use rather lie sentenc reductotto mistreat death import otto warmbier die vain otto famili becom tremend symbol strong passion strength last mani year futur love otto think oftenmichael cohen one mani lawyer repres unfortun client also disbar state suprem court lie amp fraud bad thing unrel trump lie order reduc prison time use crook lawyerspent time vietnam da nang dick blumenth third rate senat connecticut connecticut war stori heroism vietnam total fraud never even talk today vietnames leaderrt senat democrat vote legisl prevent kill newborn infant children democrat positirt rememb one shock vote histori congress one thing shorememb one shock vote histori congress one thing agre protect live innoc babisenat democrat vote legisl prevent kill newborn infant children democrat posit abort extrem mind execut babi birthdeal made china great american farmer treat better ever treat
22,"[[[0.         0.         0.         0.        ]
  [0.1        0.0927     0.05345    0.06265   ]
  [0.         0.         0.         0.        ]
  [0.05       0.0531     0.0346     0.0423    ]
  [0.09166667 0.1268     0.0619     0.07895   ]
  [0.         0.         0.         0.        ]
  [0.05       0.032      0.0358     0.0449    ]
  [0.15833333 0.143625   0.0899     0.1272    ]]]","[0.         0.         0.         0.         0.1        0.0927
 0.05345    0.06265    0.         0.         0.         0.
 0.05       0.0531     0.0346     0.0423     0.09166667 0.1268
 0.0619     0.07895    0.         0.         0.         0.
 0.05       0.032      0.0358     0.0449     0.15833333 0.143625
 0.0899     0.1272    ]",look act act major democrat abus power find anyth took fake dossier amp find collus fake wit cohen congressman mark green r tnthank3 day train ride vietnam 3 hourrt sinc elect presid dow jone 43 nasdaq composit almost 50 great news 401 krt penc say presid trump higher prioriti safeti american peopl cpac2019rt get offici campaign merchandis check offici booth teanever like misinterpret especi come otto warmbier great famili rememb got otto along three other previou administr noth taken watch cours hold north korea responstoday alaska great honor visit brave men women unit state militari joint base elmendorf richardson forev grate servic sacrific thankeveryon must watch open classicthank gener host hanoi week presid trong prime minist phuc wonder peopl vietnamrt presid particip press confer hanoi vietnam februari 28 2019 httpgreat meet dinner kim jong un hanoi vietnam tonight look forward continu discuss tomorrow hanoisummitrtrtfiat chrysler ad 6500 job michigan detroit area doubl hourli workforc part 4 5 billion dollar invest thank fiat chrysler come back usa actionrt support minimum wage howev believ minimum guarante peopl unwil work whidemocrat stop talk north korea ask instead eight year obama administrvietnam thrive like place earth north korea would quickli would denuclear potenti awesom great opportun like almost none histori friend kim jong un know fairli soon interestarriv vietnam thank peopl great recept hanoi tremend crowd much lovehead vietnam meet kim jong un look forward product summit
30,"[[[0.10275689 0.05556579 0.29918421 0.19377632]
  [0.14197995 0.34348246 0.22800877 0.29127193]
  [0.06328321 0.05003947 0.12873684 0.07585526]
  [0.09072682 0.12745614 0.27391228 0.23396491]
  [0.1839599  0.59997368 0.39407895 0.51710526]
  [0.07882205 0.05678947 0.14439474 0.10465789]
  [0.0443609  0.10557895 0.126      0.11584211]
  [0.29411028 0.50205702 0.33042544 0.48432895]]]","[0.10275689 0.05556579 0.29918421 0.19377632 0.14197995 0.34348246
 0.22800877 0.29127193 0.06328321 0.05003947 0.12873684 0.07585526
 0.09072682 0.12745614 0.27391228 0.23396491 0.1839599  0.59997368
 0.39407895 0.51710526 0.07882205 0.05678947 0.14439474 0.10465789
 0.0443609  0.10557895 0.126      0.11584211 0.29411028 0.50205702
 0.33042544 0.48432895]",foreign partner recov american hostag prioriti admin danni releas secur freedom 20 american captiv sinc elect victori rest continu work bring remain american hostag back homedanni recoveri reflect best unit state amp partner accomplish work everi day bring american home maintain constant intens diplomat intellig law enforc cooper within unit state governsinc elect presid dow jone 43 nasdaq composit almost 50 great news 401 k continu grow bring back america faster anyon thought possiblnice spike lee could read note better yet use note racist hit presid done african american crimin justic reform lowest unemploy number histori tax cutsetc almost prert highli respect senat richard burr head senat intellig said interview 200 wit ststate emerg southern border border patrol militari local law enforc great job without wall major construct cannot border secur drug gang human traffick must stoppleas report u made substanti progress trade talk china import structur issu includ intellectu properti protect technolog transfer agricultur servic currenc mani issu resultcollus russian crook hillari clinton democrat nation committe server dnc refus give fbi new text agent lisa page agent lover peter want93 approv rate republican parti 52 approv rate overal bad consid get unfair bad press histori presidenti polit forget witch huntproduct talk yesterday china trade continu today leav hanoi vietnam earli tomorrow summit kim jong un north korea expect continu progress made first summit singapor denuclearrt wonder meet mani inspir young patriot last night spoke latino conferrt thank serv well congratul friend new laura coxfar energi right left senat win big 2020 fake news want report fact border secur big factor construct wall stop gang drug crimegod bless peopl venezuelagreat new book case trump victor davi hanson hoover senior fellowfake news bad countrihonor extraordinari contribut african american everi aspect american life histori cultur earliest day nation african american leader pioneer amp visionari uplift amp inspir countrisenat john cornyn done outstand job peopl texa strong crime border second amend love militari vet john complet total endors make america greatmaga ten million peopl insult racist danger comment maga
31,"[[[0.         0.         0.         0.        ]
  [0.04347826 0.04617391 0.03008696 0.03678261]
  [0.         0.         0.         0.        ]
  [0.04347826 0.04617391 0.03008696 0.03678261]
  [0.04347826 0.03991304 0.02973913 0.026     ]
  [0.         0.         0.         0.        ]
  [0.05797101 0.05552174 0.04578261 0.04947826]
  [0.28985507 0.20075362 0.16402899 0.24565217]]]","[0.         0.         0.         0.         0.04347826 0.04617391
 0.03008696 0.03678261 0.         0.         0.         0.
 0.04347826 0.04617391 0.03008696 0.03678261 0.04347826 0.03991304
 0.02973913 0.026      0.         0.         0.         0.
 0.05797101 0.05552174 0.04578261 0.04947826 0.28985507 0.20075362
 0.16402899 0.24565217]",honor today announc danni burch unit state citizen held hostag yemen 18 month recov reunit wife children appreci support unit arab emir bring danni homecongratul 20th pga tour win dustin truli great golfer wonder guy big year ahead dustinmeet breakfast nation governor vietnam import summit kim jong un complet denuclear north korea rapidli becom econom powerhous without chairman kim make wise decisrt funni watch peopl fail year got noth tell negoti north korea burt admin commit ensur american skill need secur better job strong economioil price get high opec pleas relax take easi world cannot take price hike fragilfunni watch peopl fail year got noth tell negoti north korea thank anywaypoll suburban women come back republican parti drove wall border secur 70 support border secur wall believ wall immor line beverli hallberg independ women forum great usa issuchairman kim realiz perhap better anyon els without nuclear weapon countri could fast becom one great econom power anywher world locat peopl potenti rapid growth nationpresid xi china help support meet kim jong un last thing china want larg scale nuclear weapon right next door sanction place border china russia help great relationship chairman kimhold date one biggest gather histori washington c juli 4th call salut america held lincoln memori major firework display entertain address favorit presidrt report china propos could buy addit 30 billion year u agricultur product includrt presid deliv great news farmerrt drug traffick southern border explod cbp seiz nearli 5x much methamphetamin 2018rt americafirst media want give credit exert americangreat oval officone shred evid presid done anyth constitut anyth els wrong graham ledger thank graham truepeopl venezuela stand threshold histori readi reclaim countri futurrt 74 year ago today marin iwo jima rais flag atop mount suribachi semper fidepleas announc kelli knight craft current ambassador canada nomin unit state ambassador unit nationrt break oval offic meet today chines commit buy addit 10 million metric ton u soybmust readrt wonder even celebr africanamericanhistorymonth
32,"[[[0.14051053 0.2376875  0.569      0.4045    ]
  [0.15594475 0.67472917 0.43264583 0.56383333]
  [0.08917124 0.1525625  0.3873125  0.244875  ]
  [0.08197878 0.1773125  0.372125   0.2285625 ]
  [0.11273275 0.71575    0.4155     0.5630625 ]
  [0.1098138  0.2545     0.584      0.335125  ]
  [0.1254388  0.72025    0.5390625  0.652     ]
  [0.18440934 0.7233125  0.395125   0.60329167]]]","[0.14051053 0.2376875  0.569      0.4045     0.15594475 0.67472917
 0.43264583 0.56383333 0.08917124 0.1525625  0.3873125  0.244875
 0.08197878 0.1773125  0.372125   0.2285625  0.11273275 0.71575
 0.4155     0.5630625  0.1098138  0.2545     0.584      0.335125
 0.1254388  0.72025    0.5390625  0.652      0.18440934 0.7233125
 0.395125   0.60329167]",china trade deal advanc stage relationship two countri strong therefor agre delay u tariff hike let see happenearth would republican vote put wall border secur pleas explainhope great republican senat get led path weak ineffect border secur without strong border countri voter board us strong smart fall democrat trap open border crimeformer senat harri reid got thrown work hard put good spin fail career led lie decept replac anoth beauti cryin chuck schumer thing never changproduct talk delay u increas tariff schedul march 1 assum side make addit progress plan summit presid xi mar lago conclud agreement good weekend u amp chinart massiv updat lawsuit expos coup anoth fbi cover potenti clinton ekelli done outstand job repres nation doubt leadership countri repres highest level congratul kelli entir familihighli respect senat richard burr head senat intellig said interview 200 wit studi 2 million page document found collus trump campaign russia witch hunt bad countri must end
40,"[[[0.15294785 0.21066667 0.75195238 0.5312381 ]
  [0.14818594 0.60842857 0.52078571 0.69328571]
  [0.14739229 0.16278571 0.73914286 0.50685714]
  [0.15453515 0.21364286 0.73867857 0.56857143]
  [0.06655329 0.59828571 0.341      0.52242857]
  [0.10612245 0.12964286 0.64557143 0.41035714]
  [0.08809524 0.31064286 0.36135714 0.39378571]
  [0.1361678  0.72604762 0.53709524 0.81330952]]]","[0.15294785 0.21066667 0.75195238 0.5312381  0.14818594 0.60842857
 0.52078571 0.69328571 0.14739229 0.16278571 0.73914286 0.50685714
 0.15453515 0.21364286 0.73867857 0.56857143 0.06655329 0.59828571
 0.341      0.52242857 0.10612245 0.12964286 0.64557143 0.41035714
 0.08809524 0.31064286 0.36135714 0.39378571 0.1361678  0.72604762
 0.53709524 0.81330952]",never said anyth bad andrew mccabe wife taken larg amount campaign money crook hillari sourc clinton investig fbi never call wife loser anoth mccabe made liepredict 16 state led mostli open border democrat radic left file lawsuit cours 9th circuit california state wast billion dollar control fast train hope complet seem chargpredict 16 citi led mostli open border democrat radic left file lawsuit cours 9th circuit california state wast billion dollar control fast train hope complet seem chargwitch hunt time like becom recogn greatest scandal american polit histori mark first occas u govern bureaucrat sought overturn elect presidenti victor davi hanson got caughtbiggest abus power corrupt scandal histori much wors thought andrew mccabe fbi admit plot coup govern overthrow serv fbi fire lie amp leak treasontoday 50 countri around world recogn right govern venezuela venezuelan peopl spoken world heard voic turn page social dictatorship go backwow mani lie disgrac act fbi director andrew mccabe fire lie stori get even derang rod rosenstein hire jeff session anoth beauti look like plan illeg act got caught
